Description,UPC,Promo_Price,Retail_Price,List_Price,Manufacturer,Category,Count,Multiplier,Retailer
"Rohto Cool Relief, Redness Reliever Lubricant Eye Drops, 0.4 fl oz ",31074201074,,8.99,4.16,MENTHOLATUM,EYE CARE PRODUCTS,0.4,3.596,CVS
Orajel Kids CoComelon Training Toothpaste and Toothbrush Combo Pack,31031099891,,6.29,3.41,CHURCH/DWIGH,ORAL CARE - TOOTHPASTE,1,6.29,CVS
Orajel Instant Pain Relief for Cold Sores,31031032344,,21.49,10,CHURCH/DWIGH,UPPER RESPIRATORY - EXTERNAL,0.08,1.7192,CVS
"Orajel 2X Medicated Gum Pain Rinse Oral Pain Relief, Soothing Mint, 16 OZ",31031001904,,11.99,5.97,CHURCH/DWIGH,ORAL CARE - MOUTHWASH,16,191.84,CVS
"Sensodyne Pronamel Fresh Breath Enamel Protection Toothpaste for Sensitive Teeth and Cavity Prevention, Fresh Wave, 2 pack",31015883086,,15.79,10.96,HALEON,ORAL CARE - TOOTHPASTE,4,63.16,CVS
"Sensodyne Pronamel Intensive Enamel Repair Mouthwash, Extra Fresh, 16.9 OZ",31015835835,,7.99,4.81,HALEON,ORAL CARE - MOUTHWASH,16.9,135.031,CVS
"Sensodyne Clinical White Enamel Strengthening Toothpaste, 3.4 OZ",31015835811,,10.99,7.05,HALEON,ORAL CARE - TOOTHPASTE,3.4,37.366,CVS
"Sensodyne Complete Protection Fluoride Toothpaste for Sensitive Teeth, Antigingivitis, and Cavity Protection",31015808560,,8.79,6.1,HALEON,ORAL CARE - TOOTHPASTE,3.4,29.886,CVS
Lumify Redness Reliever Eye Drops,31011953708,,16.49,8.65,BAUSCH HLT,EYE CARE PRODUCTS,0.08,1.3192,CVS
"Soothe XP Lubricant Eye Drops, 0.5 fl oz Twin Pack",31011949399,,24.49,12.77,BAUSCH HLT,EYE CARE PRODUCTS,0.5,12.245,CVS
"Biotrue Travel Kit, Multi-Purpose Solution with Lens Case, 2 OZ",31011909844,,4.79,2.33,BAUSCH HLT,EYE CARE PRODUCTS,2,9.58,CVS
"Boston Simplus Multi-Action Solution, 3.5 fl oz",31011905611,,14.49,9.11,BAUSCH HLT,EYE CARE PRODUCTS,3.5,50.715,CVS
"Biotrue Multi-Purpose Contact Lens Solution, 10 fl oz",31011903586,,11.99,8.77,BAUSCH HLT,EYE CARE PRODUCTS,10,119.9,CVS
"Biotrue Multi-Purpose Contact Lens Solution, 4 fl oz",31011903582,,7.59,3.97,BAUSCH HLT,EYE CARE PRODUCTS,4,30.36,CVS
"Biotrue Micellar Eyelid Cleansing Wipes, 30 CT",31011902301,,17.99,9.75,BAUSCH HLT,EYE CARE PRODUCTS,30,539.7,CVS
"Biotrue Hydration Boost Lubricant Eye Drops, 30 CT",31011902297,,23.49,11.5,BAUSCH HLT,EYE CARE PRODUCTS,30,704.7,CVS
"LUMIFY Eye Illuminations Hydra-Gel Brightening Eye Cream, 0.5 oz",31011902289,28.99,34.79,18.2,BAUSCH HLT,EYE CARE PRODUCTS,0.5,17.395,CVS
"LUMIFY Eye Illuminations Lash & Brow Serum, 3.8mL",31011902288,28.99,33.79,18.2,BAUSCH HLT,EYE CARE PRODUCTS,0.12,4.0548,CVS
"LUMIFY Eye Illuminations Cleansing Water & Eye Makeup Remover, 3-in-1 Micellar Water, 160mL",31011902287,14.99,17.99,9.6,BAUSCH HLT,EYE CARE PRODUCTS,5.4,97.146,CVS
"Bauch & Lomb Alaway Eye Itch Relief Drops, 0.34 fl oz",31011902241,,16.99,9.42,BAUSCH HLT,EYE CARE PRODUCTS,0.34,5.7766,CVS
"Soothe Preservative Free Drop, 30 CT",31011902219,,16.79,7.8,BAUSCH HLT,EYE CARE PRODUCTS,28,470.12,CVS
Opcon-A Allergy Relief Eye Drops,31011902178,,17.99,7.87,BAUSCH HLT,EYE CARE PRODUCTS,0.5,8.995,CVS
"Bausch & Lomb Advanced Eye Relief Eye Wash, 4fl oz",31011900252,,6.79,3.3,BAUSCH HLT,EYE CARE PRODUCTS,4,27.16,CVS
Revlon Colorstay Overtime Lipcolor,30997938014,,14.49,5.99,REVLON,COSMETICS-LIP,1,14.49,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 60 Dark Ash Blonde",30997869560,,5.79,2.62,REVLON,HAIR CARE - COLORING,60,347.4,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 51 Light Brown",30997869551,,5.49,2.62,REVLON,HAIR CARE - COLORING,51,279.99,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 50 Light Ash Brown",30997869550,,5.79,2.62,REVLON,HAIR CARE - COLORING,50,289.5,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 42 Medium Auburn",30997869542,,5.79,2.62,REVLON,HAIR CARE - COLORING,42,243.18,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 34 Deep Burgundy",30997869534,,5.79,2.62,REVLON,HAIR CARE - COLORING,34,196.86,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 33 Dark Soft Brown",30997869533,,5.49,2.62,REVLON,HAIR CARE - COLORING,33,181.17,CVS
Revlon Colorsilk Beautiful Color Permanent Hair Color,30997869530,,5.79,2.62,REVLON,HAIR CARE - COLORING,1,5.79,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 11 Soft Black",30997869511,,5.79,2.62,REVLON,HAIR CARE - COLORING,11,63.69,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 10 Black",30997869510,,5.49,2.62,REVLON,HAIR CARE - COLORING,10,54.9,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 27 Deep Rich Brown",30997845627,,5.79,2.62,REVLON,HAIR CARE - COLORING,27,156.33,CVS
Revlon Color Effects Platinum Hair Color,30997824260,,12.99,6.95,REVLON,HAIR CARE - COLORING,1,12.99,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 04 Ultra Light Natural Blonde",30997732604,,5.79,2.62,REVLON,HAIR CARE - COLORING,4,23.16,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 03 Ultra Light Sun Blonde",30997732603,,5.79,2.62,REVLON,HAIR CARE - COLORING,3,17.37,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 81 Light Blonde",30997662381,,5.79,2.62,REVLON,HAIR CARE - COLORING,81,468.99,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 48 Burgundy",30997662348,,5.49,2.62,REVLON,HAIR CARE - COLORING,48,263.52,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 12 Natural Blue Black",30997662312,,5.79,2.62,REVLON,HAIR CARE - COLORING,12,69.48,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 05 Ultra Light Ash Blonde",30997662305,,5.79,2.62,REVLON,HAIR CARE - COLORING,5,28.95,CVS
"Almay Clear Gel Hypoallergenic Antiperspirant & Deodorant Stick, Fragrance Free, 2.75 OZ",30997366400,,4.79,2.25,REVLON,DEODORANTS,2.25,10.7775,CVS
"Cutex Strength Shield Nail Polish Remover, Lavender Scent",30997137026,,3.49,1.5,REVLON,COSMETICS-NAIL,6.7,23.383,CVS
"Revlon Colorsilk Tone Gloss Care, 7 Dark Blonde ",30997024767,,6.99,4.19,REVLON,HAIR CARE - COLORING,1,6.99,CVS
"Revlon Colorsilk Tone Gloss Care, 5A Medium Ash Brown ",30997024765,,6.99,4.19,REVLON,HAIR CARE - COLORING,1,6.99,CVS
"Revlon Colorsilk Tone Gloss Care, 6 Light Brown",30997024764,,6.99,4.19,REVLON,HAIR CARE - COLORING,1,6.99,CVS
"Revlon Colorsilk Tone Gloss Care, 5 Medium Brown ",30997024763,,6.99,4.19,REVLON,HAIR CARE - COLORING,1,6.99,CVS
"Revlon Colorsilk Tone Gloss Care, 4RV Burgundy ",30997024761,,6.99,4.19,REVLON,HAIR CARE - COLORING,1,6.99,CVS
Revlon ColorSilk Tone Gloss Care ,30997024760,,6.99,4.19,REVLON,HAIR CARE - COLORING,1,6.99,CVS
"Revlon Colorsilk Tone Gloss Care, 3 Brown Black ",30997024759,,6.99,4.19,REVLON,HAIR CARE - COLORING,1,6.99,CVS
"Revlon Colorsilk Tone Gloss Care, 1 Black ",30997024758,,6.99,4.19,REVLON,HAIR CARE - COLORING,1,6.99,CVS
Almay Hydrating Makeup Remover & Cleanser,30997021739,,12.99,7.79,REVLON,COSMETICS-EYE,4,51.96,CVS
"Revlon ColorStay Multiplayer Liquid-Glide Eye Pencil, Queen of Hearts",30997021710,,13.99,11.9,BRIGGS,COSMETICS-EYE,1,13.99,CVS
"Revlon ColorStay Limitless Matte Lipstick, Lead The Way",30997021586,,13.99,9,ALWYN COMP,LIP CARE PRODUCTS,1,13.99,CVS
"Revlon ColorStay Limitless Matte Lipstick, Icon Era",30997021581,,13.99,10.04,KIMBERLY-CLK,LIP CARE PRODUCTS,1,13.99,CVS
"Revlon ColorStay Limitless Matte Lipstick, Upper Hand",30997021577,,13.99,9,ALWYN COMP,LIP CARE PRODUCTS,1,13.99,CVS
"Revlon ColorStay Multiplayer Liquid-Glide Eye Pencil, Fortress",30997021510,,13.99,11.9,BRIGGS,COSMETICS-EYE,1,13.99,CVS
"Revlon ColorStay Multiplayer Liquid-Glide Eye Pencil, Under The Radar",30997021509,,13.99,11.9,BRIGGS,COSMETICS-EYE,1,13.99,CVS
"Revlon ColorStay Multiplayer Liquid-Glide Eye Pencil, Glitch Effect",30997021508,,13.99,11.9,BRIGGS,COSMETICS-EYE,1,13.99,CVS
"Almay Color & Care Lip Gloss, Peach Sky",30997019584,,10.99,4.98,UNILEVER,LIP CARE PRODUCTS,1,10.99,CVS
"Revlon ColorStay Xtensionnaire Mascara, Black",30997019419,,12.99,6.86,BRIST M/MEAD,COSMETICS-EYE,1,12.99,CVS
"Revlon ColorStay Suede Ink Lipstick, In the Zone",30997018726,,12.49,5.4,MABIS HEALTH,LIP CARE PRODUCTS,1,12.49,CVS
"Revlon ColorStay Suede Ink Lipstick, Lip Boom",30997018722,,12.49,5.22,3M CONSUMER,LIP CARE PRODUCTS,1,12.49,CVS
"Revlon ColorStay Suede Ink Lipstick, Spit Fire",30997018721,,12.49,5.4,MABIS HEALTH,LIP CARE PRODUCTS,1,12.49,CVS
"Revlon ColorStay Suede Ink Lipstick, Stir the Pot",30997018720,,12.49,11.6,3M CONSUMER,LIP CARE PRODUCTS,1,12.49,CVS
"Revlon ColorStay Suede Ink Lipstick, In Charge",30997018714,,12.49,10.9,MABIS HEALTH,LIP CARE PRODUCTS,1,12.49,CVS
"Revlon ColorStay Suede Ink Lipstick, That Girl",30997018713,,12.49,5.4,MABIS HEALTH,LIP CARE PRODUCTS,1,12.49,CVS
"Revlon ColorStay Suede Ink Lipstick, Feed the Flame",30997018711,,12.49,5.4,MABIS HEALTH,LIP CARE PRODUCTS,1,12.49,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 54 Light Golden Brown",30997018485,,5.79,3.47,REVLON,HAIR CARE - COLORING,54,312.66,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 47 Medium Rich Brown",30997018479,,5.79,3.47,REVLON,HAIR CARE - COLORING,47,272.13,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 46 Medium Golden Chestnut Brown",30997018478,,5.49,3.47,REVLON,HAIR CARE - COLORING,46,252.54,CVS
"Revlon Colorsilk Beautiful Color Permanent Hair Color, 45 Bright Auburn",30997018477,,5.49,3.47,REVLON,HAIR CARE - COLORING,45,247.05,CVS
"Revlon Colorstay Semi-Permanent Brow Ink, Soft Brown",30997017480,,16.49,9.47,P&G-FAMILY,COSMETICS-EYE,1,16.49,CVS
"Revlon Colorstay Semi-Permanent Brow Ink, Blonde",30997017478,,16.49,9.47,P&G-FAMILY,COSMETICS-EYE,1,16.49,CVS
"Revlon ColorStay Day to Night Eyeshadow Quad, Exquisite",30997015731,,10.79,10.31,P&G-FAMILY,COSMETICS-EYE,1,10.79,CVS
"Revlon Super Lustrous Lip Gloss, Dusk Darling",30997004121,,12.49,6.98,NOVARTIS,LIP CARE PRODUCTS,1,12.49,CVS
"DERMA E Anti Wrinkle Cleanser, 6 OZ",30985004816,,17.79,7.65,DERMA E,SKIN CARE - FACIAL,6,106.74,CVS
"Metamucil Kids Fiber Supplement Gummies, Mixed Berry, 72 CT",30772104811,,21.79,13.57,PROCTER&GMBL,DIGESTIVE - LOWER GI,72,1568.88,CVS
"Metamucil Fiber Supplement Gummies, Citrus Berry Flavored, 72 CT",30772089712,,26.79,16.14,PROCTER&GMBL,DIGESTIVE - LOWER GI,72,1928.88,CVS
"Align Probiotic Bloating Relief + Food Digestion, 28 CT",30772086773,,37.99,24.05,PROCTER&GMBL,DIGESTIVE - LOWER GI,28,1063.72,CVS
"Metamucil Daily Fiber Gummies, Orange Flavored, 105 CT",30772082577,,27.79,18.75,PROCTER&GMBL,DIGESTIVE - LOWER GI,105,2917.95,CVS
"Crest Pro-Health Clean & Free Fluoride Toothpaste for Anticavity, Antigingivitis, and Sensitive Teeth",30772076453,,4.99,3.71,PROCTER&GMBL,ORAL CARE - TOOTHPASTE,4.3,21.457,CVS
"Pampers Baby Clean Wipes Baby Fresh Scented 6X Pop-Top Packs, 432 CT",30772073278,,17.99,12.99,PROCTER&GMBL,BABY DIAPERS,72,1295.28,CVS
"Head & Shoulders Shea Butter Anti-Dandruff Conditioner, 10.9 OZ",30772064313,,7.99,4.45,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,10.9,87.091,CVS
"Head & Shoulders Shea Butter Anti-Dandruff Shampoo, 12.5 OZ",30772064306,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
"Head & Shoulders Deep Scalp Hydration 2-in-1 Anti-Dandruff Shampoo & Conditioner, 12.5 OZ",30772064276,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
"Head & Shoulders Deep Scalp Cleanse 2-in-1 Anti-Dandruff Shampoo & Conditioner, 12.5 OZ",30772064221,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
"Head & Shoulders Classic Clean 2-in-1 Dandruff Shampoo & Conditioner, 28.2 Ounces",30772064047,,12.49,9.54,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,28.2,352.218,CVS
"Head & Shoulders Men Old Spice Pure Sport 2-in-1 Dandruff Shampoo & Conditioner, 28.2 Ounces",30772063965,,12.49,9.49,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,28.2,352.218,CVS
"Head & Shoulders Men Old Spice Swagger 2-in-1 Dandruff Shampoo & Conditioner, 20.7 Ounces",30772063781,,9.29,7.44,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,20.7,192.303,CVS
"Head & Shoulders Men 2-in-1 Full & Thick Dandruff Shampoo & Conditioner, 20.7 Ounces",30772063774,,9.29,7.44,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,20.7,192.303,CVS
Head & Shoulders Men Old Spice Pure Sport 2-in-1 Dandruff Shampoo & Conditioner,30772063736,,9.29,7.44,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,20.7,192.303,CVS
"Head & Shoulders Green Apple Dandruff Shampoo, 20.7 OZ",30772063507,,9.29,7.57,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,20.7,192.303,CVS
"Head & Shoulders Coconut Anti-Dandruff Shampoo, 12.5 OZ",30772063378,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
Head & Shoulders Men Old Spice Swagger 2-in-1 Dandruff Shampoo & Conditioner,30772063293,,7.99,4.93,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
Head & Shoulders Men 2-in-1 Full & Thick Dandruff Shampoo & Conditioner,30772063286,,7.99,4.93,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
"Head & Shoulders Smooth & Silky Dandruff Shampoo, 12.5 OZ",30772063187,,7.99,4.81,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
Head & Shoulders Tea Tree Oil 2-in-1 Anti-Dandruff Shampoo & Conditioner,30772063156,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
Head & Shoulders Tea Tree Oil 2-in-1 Anti-Dandruff Shampoo & Conditioner,30772063156,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,1,7.99,CVS
Head & Shoulders Tea Tree Oil 2-in-1 Anti-Dandruff Shampoo & Conditioner,30772063156,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,1,7.99,CVS
Head & Shoulders Tea Tree Oil 2-in-1 Anti-Dandruff Shampoo & Conditioner,30772063156,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,1,7.99,CVS
Head & Shoulders Tea Tree Oil 2-in-1 Anti-Dandruff Shampoo & Conditioner,30772063156,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,1,7.99,CVS
Head & Shoulders Tea Tree Oil 2-in-1 Anti-Dandruff Shampoo & Conditioner,30772063156,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,1,7.99,CVS
"Head & Shoulders Apple Cider Vinegar 2-in-1 Dandruff Shampoo & Conditioner, 12.5 OZ",30772063095,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
"Head & Shoulders Mens Bourbon 2-in-1 Anti-Dandruff Shampoo & Conditioner, 12.5 OZ",30772063019,,7.99,4.93,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
"Head & Shoulders Mens Sandalwood 2-in-1 Anti-Dandruff Shampoo & Conditioner, 12.8 OZ",30772062999,,7.99,4.93,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
"Head & Shoulders Itchy Scalp Care 2-in-1 Dandruff Shampoo & Conditioner, 12.5 OZ",30772062869,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
"Head & Shoulders Green Apple 2-in 1 Dandruff Shampoo & Conditioner, 12.5 OZ",30772062845,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
Head & Shoulders Dry Scalp Care 2-in-1 Dandruff Shampoo & Conditioner,30772062821,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
"Head & Shoulders Dry Scalp Care Dandruff Shampoo, 12.5 OZ",30772062814,,7.99,5.05,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12.5,99.875,CVS
"Olay Fresh Outlast Body Wash, Orchid & Black Currant, 30 oz",30772061466,8.99,12.49,8.37,PROCTER&GMBL,SOAP,33,412.17,CVS
"Olay Cleansing & Renewing Nighttime Body Wash with Vitamin B3 and Retinol, 20 oz",30772059968,8.99,13.49,6.37,PROCTER&GMBL,SOAP,20,269.8,CVS
"Olay Cleansing & Nourishing Body Wash with Vitamin B3 and Vitamin C, 20 oz",30772059944,8.99,13.49,6.37,PROCTER&GMBL,SOAP,20,269.8,CVS
"Crest Kids Advanced Fluoride Anticavity Color Changing Toothpaste, Ages 3+, Bubblegum, 4.2 OZ",30772057155,,5.49,3.14,PROCTER&GMBL,ORAL CARE - TOOTHPASTE,4.2,23.058,CVS
"Scope Squeez Mouthwash Concentrate, 50mL Makes up to 50 Uses, Cool Peppermint",30772055328,,5.99,3.89,PROCTER&GMBL,ORAL CARE - MOUTHWASH,1.69,10.1231,CVS
"Scope Squeez Mouthwash Concentrate, 50mL Makes up to 50 Uses, Original Mint",30772055304,,5.99,3.89,PROCTER&GMBL,ORAL CARE - MOUTHWASH,1.69,10.1231,CVS
"Olay Fresh Outlast Body Wash, Cucumber and Aloe, 22 oz",30772055113,,8.69,5.67,PROCTER&GMBL,SOAP,22,191.18,CVS
"Metamucil Premium Blend Daily Fiber Supplement, Psyllium Husk Fiber Powder, With Stevia Orange",30772047606,,27.99,19.08,PROCTER&GMBL,DIGESTIVE - LOWER GI,14.9,417.051,Walgreens
"Metamucil Premium Blend Daily Psyllium Fiber Powder, Orange, 30 Servings",30772047576,,11.79,9.75,PROCTER&GMBL,DIGESTIVE - LOWER GI,6.1,71.919,CVS
"Nervive Pain Relieving Cream, 3 OZ",30772042885,,13.49,9.06,PROCTER&GMBL,PAIN - ANALGESIC (EXTERNAL),3,40.47,CVS
"Nervive Nerve Care, Pain Relieving Cream, Max Strength Non-Greasy Topical Pain Reliever",30772042885,14.99,16.99,9.06,PROCTER&GMBL,PAIN - ANALGESIC (EXTERNAL),3,50.97,Walgreens
Always Nourish Moisturizing Oil for Intimate Skin,30772033005,12.49,16.99,10.69,PROCTER&GMBL,FEMININE NEEDS - WOMEN'S CARE,1,16.99,Walgreens
Always Relief Soothing Serum for Intimate Skin,30772032992,12.49,16.99,10.59,PROCTER&GMBL,FEMININE NEEDS - WOMEN'S CARE,1.7,28.883,Walgreens
Always Refresh Cleansing Wipes for Intimate Skin Fragrance-Free,30772032640,6.99,11.49,5.61,PROCTER&GMBL,FEMININE NEEDS - WOMEN'S CARE,40,459.6,Walgreens
Always Cleanse Refreshing Wash for Intimate Skin Lightly Scented,30772032633,5.79,11.49,5.62,PROCTER&GMBL,FEMININE NEEDS - WOMEN'S CARE,8.4,96.516,Walgreens
Always Cleanse Sensitive Wash for Intimate Skin Fragrance-Free,30772032626,6.79,13.49,5.62,PROCTER&GMBL,FEMININE NEEDS - WOMEN'S CARE,8.4,113.316,Walgreens
Align Probiotic Women's Dual Action Probiotics Capsules,30772032565,,33.49,24.05,PROCTER&GMBL,DIGESTIVE - LOWER GI,28,937.72,CVS
"Align Probiotic Women's Dual Action Gut & Feminine Health Capsules, 28 CT",30772032558,,31.99,24.05,PROCTER&GMBL,DIGESTIVE - LOWER GI,28,895.72,CVS
"Always Pure Cotton with FlexFoam Size 2 Pads with Wings, Heavy Flow, 34 CT",30772032367,,15.49,10.06,PROCTER&GMBL,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,34,526.66,CVS
OLAY FRESH OUTLAST ROSE WATER SWEET,30772026021,,12.79,8.37,PROCTER&GMBL,SOAP,33,422.07,CVS
"Always Thin Daily Panty Liners Regular, 72 CT",30772022658,,6.99,3.64,PROCTER&GMBL,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,72,503.28,CVS
"Always Thin No Feel Protection Daily Liners Unscented, Regular Absorbency",30772020906,,6.99,3.64,PROCTER&GMBL,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,72,503.28,Walgreens
"Ivory Mild & Gentle Body Wash, 35 OZ",30772018460,,7.29,5.08,PROCTER&GMBL,SOAP,35,255.15,CVS
"Secret 48-Hour Antiperspirant & Deodorant Dry Spray, Waterlily + Argan Oil, 4.1 OZ",30772017814,,8.49,4.97,PROCTER&GMBL,DEODORANTS,4.1,34.809,CVS
"Crest Kids Enamel + Cavity Protection Toothpaste Ages 6+, Strawberry, 4.1 OZ",30772016848,,5.49,3.13,PROCTER&GMBL,ORAL CARE - TOOTHPASTE,4.1,22.509,CVS
"Old Spice Body Wash for Men, Moisturize with Shea Butter",30772011683,,9.29,5.34,PROCTER&GMBL,SOAP,18,167.22,CVS
"Old Spice Body Wash for Men, Deep Cleanse",30772011652,,9.29,5.34,PROCTER&GMBL,SOAP,18,167.22,CVS
"Old Spice Body Wash for Men, Fiji, 18 oz",30772011614,,9.29,5.34,PROCTER&GMBL,SOAP,18,167.22,CVS
Safeguard Liquid Hand Soap Pump Notes of Coconut,30772008362,,5.49,3.08,PROCTER&GMBL,SOAP,15.5,85.095,Walgreens
Safeguard Liquid Hand Soap Pump Notes of Coconut,30772008362,,5.49,3.08,PROCTER&GMBL,SOAP,15.5,85.095,Walgreens
Safeguard Liquid Hand Soap Pump Notes of Lavender,30772008355,,5.49,3.08,PROCTER&GMBL,SOAP,15.5,85.095,Walgreens
Safeguard Liquid Hand Soap Pump Notes of Lavender,30772008355,,5.49,3.08,PROCTER&GMBL,SOAP,15.5,85.095,Walgreens
"Safeguard Hand Wash Ocean Breeze, 15.5 oz",30772008348,,4.99,3.08,PROCTER&GMBL,SOAP,15.5,77.345,CVS
Safeguard Liquid Hand Soap Pump Ocean Breeze,30772008348,,5.49,3.08,PROCTER&GMBL,SOAP,15.5,85.095,Walgreens
Safeguard Liquid Hand Soap Pump Ocean Breeze,30772008348,,5.49,3.08,PROCTER&GMBL,SOAP,15.5,85.095,Walgreens
"Secret Outlast 48-Hour Clear Gel Antiperspirant & Deodorant Stick, Cherry Blossom, 2.6 OZ",30772006696,,8.69,4.8,PROCTER&GMBL,DEODORANTS,2.6,22.594,CVS
"Always Pure Cotton FlexFoam Size 4 Pads with Wings, Unscented, 28 CT",30772004418,,15.49,9.57,PROCTER&GMBL,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,28,433.72,CVS
Metamucil Daily Fiber Supplement Unflavored,30772002773,,28.99,20.56,PROCTER&GMBL,DIGESTIVE - LOWER GI,28.1,814.619,Walgreens
Metamucil Daily Fiber Supplement Unflavored,30772002773,,28.99,20.56,PROCTER&GMBL,DIGESTIVE - LOWER GI,28.1,814.619,Walgreens
"Osteo Bi-Flex Joint Health Ease Advanced Triple Action Mini Tablets, 56 CT",30768793548,,52.99,31,BOUNTIFUL CO,"VITAMINS, MINERALS & SUPPLEMENTS",56,2967.44,CVS
Osteo Bi-Flex Herbal Formula With Turmeric Capsules Triple Strength,30768679309,,34.99,21.11,BOUNTIFUL CO,"VITAMINS, MINERALS & SUPPLEMENTS",80,2799.2,Walgreens
"Osteo Bi-Flex Ease with Vitamin D, Joint Supplements, Mini-Tablets, 28 CT",30768553883,,20.79,18.24,BOUNTIFUL CO,"VITAMINS, MINERALS & SUPPLEMENTS",28,582.12,CVS
"Osteo Bi-Flex Ease Advanced Triple Action, Mini Tablets",30768553883,,31.99,18.24,BOUNTIFUL CO,"VITAMINS, MINERALS & SUPPLEMENTS",28,895.72,Walgreens
"Sundown Naturals Co Q-10 Gummies 200mg, Peach Mango, 50CT",30768553173,,17.99,9.98,BOUNTIFUL CO,"VITAMINS, MINERALS & SUPPLEMENTS",50,899.5,CVS
"Sundown Naturals Melatonin Gummies 5mg, 60CT",30768535032,,10.79,5.21,BOUNTIFUL CO,SLEEPING REMEDIES,60,647.4,CVS
"Sundown Naturals Vitamin D3 Gummies 2000 IU, 90CT",30768534912,,10.79,5.68,BOUNTIFUL CO,VITAMINS,90,971.1,CVS
"Sundown Naturals Vitamin C Gummies, 90CT",30768533007,,10.79,5.68,BOUNTIFUL CO,VITAMINS,90,971.1,CVS
Osteo Bi-Flex Glucosamine HCI & Vitamin D3 Dietary Supplement Coated Caplets,30768330439,,37.99,21.23,BOUNTIFUL CO,"VITAMINS, MINERALS & SUPPLEMENTS",60,2279.4,Walgreens
"Osteo Bi-Flex Joint Health, Triple Strength with Vitamin D, Tablets",30768196080,,49.99,29.84,BOUNTIFUL CO,"VITAMINS, MINERALS & SUPPLEMENTS",120,5998.8,Walgreens
"Sundown Naturals Melatonin Capsules 10mg, 90CT",30768194840,,25.49,12.34,BOUNTIFUL CO,SLEEPING REMEDIES,90,2294.1,CVS
